title,url,summary,last_updated,next_step,project
Mattesi FORCE Chapter 2 extraction,https://claude.ai/chat/081a265d-dc89-4898-bee2-91d3678d405d,"Extracted Mattesi FORCE Chapter 2 (FORCEFUL Form): exercises mattesi-015 to mattesi-022, 8 new files. Catalogue at 135 exercises / 7 artists. Flagged duplicate nicolaides entries in catalogue.yaml.",2026-06-18,"Proceed to Chapter 3. Resolve nicolaides duplicate entries and count mismatch in catalogue.yaml.",are.na-toolkit
Mattesi FORCE extraction Chapter 1,https://claude.ai/chat/502a6e01-aa90-4009-acc8-8472325496d5,"Extracted Mattesi FORCE Chapter 1: 14 exercises (mattesi-001 to mattesi-014). Set up source file and chapter map. Wrote handoff prompt for Chapter 2.",2026-06-18,Extract Chapter 2 (FORCEFUL Form) following the established per-section pattern.,are.na-toolkit
Work status check,https://claude.ai/chat/cf0366d4-bb02-42c9-8176-22eddfc9c8db,"Status check session; wrote a detailed handoff prompt for starting Mattesi FORCE Chapter 1, including confirmed decisions on exercise format and extraction scope.",2026-06-18,Paste handoff prompt into a fresh session to begin Mattesi Chapter 1.,are.na-toolkit
Markdown design system calendar,https://claude.ai/chat/12dbe1c0-fd09-4323-b6c9-f90c7acf81e8,"Built PAGE 11 (article page) for the md-design-system style guide: article structure, hero image, pullquote, tag list, related posts, pagination, and full prose element set. Content written in Kim's voice.",2026-06-18,Build remaining style guide pages; test prose components against real content.,are.na-toolkit
Development notes frontmatter,https://claude.ai/chat/f564eed6-e3ac-4c6a-be81-acfc9a288a32,"Reorganised _development-notes/ vault into subfolders: _reference, _ideas, are.na-toolkit, md-pkim-library, md-tools. 18 notes moved and categorised.",2026-06-18,"Rename note starting with # (\"#LLM Knowledge Bases\") to remove the hash character.",are.na-toolkit
Virtual environment package audit,https://claude.ai/chat/7bc3bd7e-e2b7-4841-8bf0-c55666a3069a,"Audited dt-knowledge-base Python venv: confirmed all script imports match requirements.txt, Python 3.12.12 via pyenv. No gaps found. Noted that Getty MCP runs separately.",2026-06-18,Update setup instructions in requirements.txt to specify the correct pyenv Python path.,are.na-toolkit
Life class ideas,https://claude.ai/chat/5301e068-9dd6-4ef0-9f56-4f2469299148,"Quick session: three life class ideas proposed (long sustained pose, continuous tone/no line, negative space/blind contour). Offered to build a timed running order.",2026-06-18,Choose one idea and ask for a timed session plan if needed.,are.na-toolkit
Kim's tone of voice guide,https://claude.ai/chat/c1f114d0-97a6-47ab-948a-21e66f4eb3d5,"Created a comprehensive tone of voice guide document by pulling down five pages from mildlydiverting.com. Identified three registers (conversational/reflective, instructional, official/client) with before/after examples and a Claude briefing section.",2026-06-18,Add individual Work series pages to the guide; use the efficient prompt version (~180 tokens) when automating.,are.na-toolkit
Drawing knowledge base setup,https://claude.ai/chat/6ddfd7fa-ed9f-4044-86cb-822c3b6bcea2,"Initial dt-knowledge-base setup: created requirements.txt with annotated dependencies, venv setup instructions, and notes on system dependencies (tesseract, poppler).",2026-06-18,Recreate venv using the correct pyenv 3.12 path if needed.,are.na-toolkit
Artist data enrichment,https://claude.ai/chat/ff7f16c0-418c-4f1d-ae41-d87ed6e297f4,"Updated convert-folder-smart.py (v1.1) to log conversions to EXTRACTION-LOG.md. Wrote scripts/README.md documenting all four scripts. Updated WORKFLOW, SCHEMA, REPO-STATUS, and HANDOFF.",2026-06-18,Move logged pending entries into the main EXTRACTION-LOG table.,are.na-toolkit
Book conversion status,https://claude.ai/chat/ae0eb8f1-825f-4d9e-aa8a-ec50626ef3b9,"Major data cleanup: fixed 4 artist URLs, created lod-lookup.yaml (23 artists), converted catalogue and source maps from JSON to YAML, added wikilinks across 33 exercise files.",2026-06-18,"Delete old .json files manually (sandbox can't remove them). Verify Wikidata Q numbers against live Wikidata.",are.na-toolkit
Arena hypernormalisation blacklist,https://claude.ai/chat/b89cece0-3cf1-4f22-b3c0-6b0ac34bed3d,"Added blocklist, alt text/accessibility, music muted default, and UI tweaks to the are.na hypernormalisation tool. Updated README with all new features. Deployed to docs/.",2026-06-18,Push to GitHub Pages; test blocklist with real are.na channel slugs.,are.na-toolkit
Arena tools launch updates,https://claude.ai/chat/846953cc-964e-4d5d-8845-d84b3a25d35f,Updated README.md and HANDOFF.md for the are.na-toolkit launch. Documentation covers all current tools and their status.,2026-06-18,Review README for accuracy; push to repo.,are.na-toolkit
Are.na tools landing page,https://claude.ai/chat/7a133f7f-e50b-4535-907f-c0d5047d98e0,"Refined the are.na-toolkit landing page styling: removed card borders, increased font sizes (body 16px, cards 15px), improved line height, fixed link colours.",2026-06-18,Cross-browser test the landing page; check responsiveness at mobile widths.,are.na-toolkit
Arena hypernormalisation tool,https://claude.ai/chat/bf182ddb-6cf5-401e-ab9b-b96509380157,"Built major update to the are.na hypernormalisation slideshow: hard-cut transitions (60/80ms), cache/pool refresh UI, silent background top-up every 25 slides, per-entry cache management. Wrote full handoff doc.",2026-06-18,Test cache refresh and blocklist together with a large are.na channel; check for race conditions.,are.na-toolkit
Arena palette updates,https://claude.ai/chat/79054343-00bb-4a04-bf1f-6f9c16857c2c,"Debugging session for the are.na palette colour tool. Identified hex key format bug (hex.slice(1) vs hex) in patchColorLabels function; fix documented but not yet applied.",2026-06-18,"Apply fix: revert hex.slice(1) to hex in patchColorLabels so it matches [data-hex] legend nodes.",are.na-toolkit
Start next book project,https://claude.ai/chat/d22724a1-2725-4da3-9d7e-561d04355bc8,"Context session for choosing the next book after Mattesi. Discussed a tone exercise from the knowledge base (Find the Form and Aux Trois Crayons). Tesseract confirmed available as OCR fallback.",2026-06-18,Select next book from EXTRACTION-LOG.md not-started list and begin extraction.,are.na-toolkit
Next steps for drawing knowledge base,https://claude.ai/chat/faf18099-49cb-4154-9504-c2eed423cced,"Early extraction session: created Bargue Drawing Course source map and 3 exercise files (bargue-001 to bargue-003). Catalogue at 36 exercises / 4 books. Git commit command provided.",2026-06-18,Commit the Bargue files; proceed to Bridget Woods extraction.,are.na-toolkit
Continue teaching materials test,https://claude.ai/chat/905681b3-0d2a-4e92-b358-da62aa36a85b,"Scoped the teaching skill: noted memory saved and HANDOFF updated. Identified four external pedagogy resources still needed (QAA level descriptors, Fink's taxonomy, practice-based ILO examples, Schön or Kolb).",2026-06-18,"Locate and drop into pedagogy folder: QAA descriptors PDF, Fink chapter, cross-discipline ILOs, Schön/Kolb source.",are.na-toolkit
Build drawing instruction knowledge base,https://claude.ai/chat/9ce0abaf-21e3-4391-9d08-3968dcc591f6,"Initial knowledge base setup session: wrote HANDOFF.md with project overview, confirmed decisions table, extraction notes, and diversity gap reminder. First SKILL.md drafted.",2026-06-18,"Review SKILL.md exercise format and style with Kim before further extraction; ask 2–3 short questions.",are.na-toolkit
Convert handwritten notes to markdown files,https://claude.ai/chat/9725b3f9-708c-4cbe-9bf6-f7e668bf37e6,"Troubleshooting Anthropic API credit issue: resolved by creating a new API key after adding billing credit. Explained key/account relationship.",2026-06-18,Confirm script is running successfully on the batch of handwritten note images.,are.na-toolkit
Analyze cultural education documents for patterns,https://claude.ai/chat/7b974585-c24f-4ad3-b135-717ac59e66eb,"Synthesised place theory from a collection of cultural education documents (Goodman, CultureHive, ASELA, Nesta, placemaking literature). Produced a working definition of place and a 5-slide presentation structure.",2026-06-18,"Develop the 5-slide structure into a full presentation; pursue Mierle Laderman Ukeles as further reading.",are.na-toolkit
Summarize unlearning exercises for arts education,https://claude.ai/chat/840e8bd4-ff07-49da-8fa5-d758e7f91e84,"Summary of Annette Krauss & Casco Art Institute's Unlearning Exercises (2014). Key themes: unlearning vs learning, busyness as institutional condition, the commons. Highlighted Time Diary and Care Network as directly applicable to teaching.",2026-06-18,"Read further: Mierle Laderman Ukeles Maintenance Manifesto; apply Time Diary exercise in a life class or teaching session.",are.na-toolkit
